Hero	Avg Place	Avg Mythic Place	# Games	# Mythic Games
Pan's Shadow	3.38	2.79	29	19
Grandmother	3.52	3.42	23	12
The Cursed King	3.53	3.28	64	29
Xelhua	3.55	3.25	123	60
The Headless Horseman	3.59	4	27	10
Merlin	3.68	3.47	305	173
Fallen Angel	3.68	3.22	78	50
Charon	3.7	3.65	88	40
Hoard Dragon	3.71	3.43	299	168
Sharebear	3.77	3.43	120	82
Wonder Waddle	3.8	3.42	197	111
Peter Pants	3.81	3.49	124	57
Geppetto	3.86	3.5	158	84
Gwen	3.88	3.8	99	54
Mad Catter	3.9	3.85	41	20
Krampus	3.92	3.35	36	20
Celestial Tiger	3.93	3.64	118	66
Muerte	3.97	3.38	36	13
Mask	4	3.59	96	63
Pied Piper	4.02	4	127	67
Mordred	4.06	3.67	18	6
Skip, the Time Skipper	4.12	3.83	73	42
Potion Master	4.12	3.86	102	43
Mihri, King Lion	4.14	3.13	42	15
Apocalypse	4.21	3.61	47	18
Loki	4.21	3.89	75	27
Morgan le Fay	4.29	3.95	38	21
Pup the Magic Dragon	4.3	4.5	57	14
Beauty	4.32	4.33	76	30
Sphinx	4.44	4.22	68	37
Sad Dracula	4.45	4.3	115	54
Sir Galahad	4.47	4.56	30	18
Snow Angel	4.52	4	27	10
Trophy Hunter	4.59	4.4	146	77
Evella	4.59	5.14	17	7
Jack's Giant	4.59	4.5	39	14
The Fates	4.85	4.17	40	6
Mrs. Claus	4.9	4	21	2
King Midas	5.07	5.33	89	45